Micro Pollutant,MP Category,Initial Concentration of MP (mg/L),Compound MW (g/mol),Compound Charge,Log D (pH=6.5-7),Log Kow,pKa,Stokes Radius/Compound size ,Initial FS pH,Type of MB,FO membrane description,MB Contact Angle (°),MB Zeta Potential,Draw Solution,DS MW (g mol-1),DS Concentration (M),Operating Time (h),Cross Flow Velocity (cm/s),"Water Flux, Jw (LMH)","Reverse Salt Flux, Js (gMH)",Temperature (⁰C),Removal Rate (%),Reference,Reference ID,Additional references,ID number,,,,,,,,,,,,,,,,,,
Atenolol,b-Blockers,1.00E-02,266.34,1,-2.09,0.33,9.6,0.39,7.05,HTI CTA FO,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Monoammonium Phosphate,115,1,10,8.5,7.7,0.08,20,79.8,"(Kim, 2019)",1,,1,,,,,,,,,,,,,,,,,,
Atrazine,Pesticide,1.00E-02,216,0,2.64,2.2,2.27,0.35,7.05,HTI CTA FO,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Monoammonium Phosphate,115,1,10,8.5,7.7,0.08,20,76.9,"(Kim, 2019)",1,,2,,,,,,,,,,,,,,,,,,
Primidone,Pharmaceutical,1.00E-02,218,0,0.83,0.91,12.26,0.35,7.05,HTI CTA FO,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Monoammonium Phosphate,115,1,10,8.5,7.7,0.08,20,89.9,"(Kim, 2019)",1,,3,,,,,,,,,,,,,,,,,,
Caffeine,Stimulant,1.00E-02,194,0,-0.63,-0.07,0.52,0.33,7.05,HTI CTA FO,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Monoammonium Phosphate,115,1,10,8.5,7.7,0.08,20,81.3,"(Kim, 2019)",1,,4,,,,,,,,,,,,,,,,,,
Atenolol,b-Blockers,1.00E-02,266.34,1,-2.09,0.33,9.6,0.39,7.05,HTI CTA FO,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Monoammonium Phosphate,115,2,10,8.5,9.5,0.08,20,79.8,"(Kim, 2019)",1,,5,,,,,,,,,,,,,,,,,,
Atrazine,Pesticide,1.00E-02,216,0,2.64,2.2,2.27,0.35,7.05,HTI CTA FO,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Monoammonium Phosphate,115,2,10,8.5,9.5,0.08,20,83.2,"(Kim, 2019)",1,,6,,,,,,,,,,,,,,,,,,
Primidone,Pharmaceutical,1.00E-02,218,0,0.83,0.91,12.26,0.35,7.05,HTI CTA FO,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Monoammonium Phosphate,115,2,10,8.5,9.5,0.08,20,92.4,"(Kim, 2019)",1,,7,,,,,,,,,,,,,,,,,,
Caffeine,Stimulant,1.00E-02,194,0,-0.63,-0.07,0.52,0.33,7.05,HTI CTA FO,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Monoammonium Phosphate,115,2,10,8.5,9.5,0.08,20,87.2,"(Kim, 2019)",1,,8,,,,,,,,,,,,,,,,,,
Atenolol,b-Blockers,1.00E-02,266.34,1,-2.09,0.33,9.6,0.39,7.05,HTI CTA FO,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Diammonium Phosphate,132.1,1,10,8.5,7.6,0.49,20,88.7,"(Kim, 2019)",1,,9,,,,,,,,,,,,,,,,,,
Atrazine,Pesticide,1.00E-02,216,0,2.64,2.2,2.27,0.35,7.05,HTI CTA FO,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Diammonium Phosphate,132.1,1,10,8.5,7.6,0.49,20,92,"(Kim, 2019)",1,,10,,,,,,,,,,,,,,,,,,
Primidone,Pharmaceutical,1.00E-02,218,0,0.83,0.91,12.26,0.35,7.05,HTI CTA FO,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Diammonium Phosphate,132.1,1,10,8.5,7.6,0.49,20,91.6,"(Kim, 2019)",1,,11,,,,,,,,,,,,,,,,,,
Caffeine,Stimulant,1.00E-02,194,0,-0.63,-0.07,0.52,0.33,7.05,HTI CTA FO,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Diammonium Phosphate,132.1,1,10,8.5,7.6,0.49,20,84.4,"(Kim, 2019)",1,,12,,,,,,,,,,,,,,,,,,
Atenolol,b-Blockers,1.00E-02,266.34,1,-2.09,0.33,9.6,0.39,7.05,HTI CTA FO,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Diammonium Phosphate,132.1,2,10,8.5,9.2,0.59,20,94.2,"(Kim, 2019)",1,,13,,,,,,,,,,,,,,,,,,
Atrazine,Pesticide,1.00E-02,216,0,2.64,2.2,2.27,0.35,7.05,HTI CTA FO,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Diammonium Phosphate,132.1,2,10,8.5,9.2,0.59,20,88.3,"(Kim, 2019)",1,,14,,,,,,,,,,,,,,,,,,
Primidone,Pharmaceutical,1.00E-02,218,0,0.83,0.91,12.26,0.35,7.05,HTI CTA FO,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Diammonium Phosphate,132.1,2,10,8.5,9.2,0.59,20,92,"(Kim, 2019)",1,,15,,,,,,,,,,,,,,,,,,
Caffeine,Stimulant,1.00E-02,194,0,-0.63,-0.07,0.52,0.33,7.05,HTI CTA FO,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Diammonium Phosphate,132.1,2,10,8.5,9.2,0.59,20,86.7,"(Kim, 2019)",1,,16,,,,,,,,,,,,,,,,,,
Atenolol,b-Blockers,1.00E-02,266.34,1,-2.09,0.33,9.6,0.39,7.05,HTI CTA FO,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,KCl,74.6,1,10,8.5,11.7,0.51,20,97.3,"(Kim, 2019)",1,,17,,,,,,,,,,,,,,,,,,
Atrazine,Pesticide,1.00E-02,216,0,2.64,2.2,2.27,0.35,7.05,HTI CTA FO,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,KCl,74.6,1,10,8.5,11.7,0.51,20,88.4,"(Kim, 2019)",1,,18,,,,,,,,,,,,,,,,,,
Primidone,Pharmaceutical,1.00E-02,218,0,0.83,0.91,12.26,0.35,7.05,HTI CTA FO,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,KCl,74.6,1,10,8.5,11.7,0.51,20,94.7,"(Kim, 2019)",1,,19,,,,,,,,,,,,,,,,,,
Caffeine,Stimulant,1.00E-02,194,0,-0.63,-0.07,0.52,0.33,7.05,HTI CTA FO,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,KCl,74.6,1,10,8.5,11.7,0.51,20,85.5,"(Kim, 2019)",1,,20,,,,,,,,,,,,,,,,,,
Atenolol,b-Blockers,1.00E-02,266.34,1,-2.09,0.33,9.6,0.39,7.05,HTI CTA FO,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,KCl,74.6,2,10,8.5,17.1,0.86,20,97.6,"(Kim, 2019)",1,,21,,,,,,,,,,,,,,,,,,
Atrazine,Pesticide,1.00E-02,216,0,2.64,2.2,2.27,0.35,7.05,HTI CTA FO,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,KCl,74.6,2,10,8.5,17.1,0.86,20,91.5,"(Kim, 2019)",1,,22,,,,,,,,,,,,,,,,,,
Primidone,Pharmaceutical,1.00E-02,218,0,0.83,0.91,12.26,0.35,7.05,HTI CTA FO,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,KCl,74.6,2,10,8.5,17.1,0.86,20,95,"(Kim, 2019)",1,,23,,,,,,,,,,,,,,,,,,
Caffeine,Stimulant,1.00E-02,194,0,-0.63,-0.07,0.52,0.33,7.05,HTI CTA FO,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,KCl,74.6,2,10,8.5,17.1,0.86,20,87.2,"(Kim, 2019)",1,,24,,,,,,,,,,,,,,,,,,
"1,4-Dioxane",Cosmetic Toxin,9.00E-03,88,0,-0.17,-0.27,-3.9,0.26,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,NaCl,430.18,0.65,48,,4,,20,55.6,(Linares et al. 2011),3,file:///C:/Users/ct619/Downloads/Desalination_of_Red_Sea_water_using_both_electrodi.pdf,25,,,,,,,,,,,,,,,,,,
Paracetamol,Pharmaceutical,1.07E-03,151,0,0.23,0.46,9.38,0.54,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,NaCl,430.18,0.65,48,,4,,20,48.6,(Linares et al. 2011),3,https://www.lenntech.com/calculators/osmotic/osmotic-pressure.htm,26,,,,,,,,,,,,,,,,,,
Metronidazole,Pharmaceutical,8.70E-03,171,0,-0.27,-0.14,14.44,0.53,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,NaCl,430.18,0.65,48,,4,,20,65.5,(Linares et al. 2011),3,https://www.researchgate.net/publication/275251989_Desalination_of_Red_Sea_water_using_both_electrodialysis_and_reverse_osmosis_as_complementary_methods,27,,,,,,,,,,,,,,,,,,
Phenazone,Nonsteroidal anti-inflammatory,1.18E-03,188,0,0.54,0.44,0.65,0.55,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,NaCl,430.18,0.65,48,,4,,20,84.7,(Linares et al. 2011),3,,28,,,,,,,,,,,,,,,,,,
Caffeine,Stimulant,9.60E-03,194,0,-0.45,-0.07,0.52,0.39,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,NaCl,430.18,0.65,48,,4,,20,80.2,(Linares et al. 2011),3,,29,,,,,,,,,,,,,,,,,,
Bisphenol A,Endocrine disrupting chemicals,8.50E-03,228,0,3.86,3.32,10.29,0.56,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,NaCl,430.18,0.65,48,,4,,20,40,(Linares et al. 2011),3,,30,,,,,,,,,,,,,,,,,,
Carbamazepine,Pharmaceutical,1.00E-03,236,0,2.58,2.45,13.9,0.6,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,NaCl,430.18,0.65,48,,4,,20,67,(Linares et al. 2011),3,,31,,,,,,,,,,,,,,,,,,
17-alpha-Ethinyl estradiol,Hormones,6.40E-03,296,0,3.98,3.9,10.33,0.54,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,NaCl,430.18,0.65,48,,4,,20,87.5,(Linares et al. 2011),3,,32,,,,,,,,,,,,,,,,,,
Ibuprofen,Pharmaceutical,7.00E-04,206,-1,3.97,3.5,4.41,0.56,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,NaCl,430.18,0.65,48,,4,,20,92.9,(Linares et al. 2011),3,,33,,,,,,,,,,,,,,,,,,
Naproxen,Pharmaceutical,1.04E-03,230,-1,0.34,2.88,4.84,0.58,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,NaCl,430.18,0.65,48,,4,,20,96.5,(Linares et al. 2011),3,,34,,,,,,,,,,,,,,,,,,
Fenoprofen,Pharmaceutical,1.09E-03,242,0,0.38,3.72,4.2,0.56,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,NaCl,430.18,0.65,48,,4,,20,93.5,(Linares et al. 2011),3,,35,,,,,,,,,,,,,,,,,,
Gemfibrozil,Pharmaceutical,1.13E-03,250,0,2.3,4.3,4.75,0.6,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,NaCl,430.18,0.65,48,,4,,20,95.6,(Linares et al. 2011),3,,36,,,,,,,,,,,,,,,,,,
Ketoprofen,Pharmaceutical,9.20E-03,254,0,-0.13,2.91,4.23,0.56,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,NaCl,430.18,0.65,48,,4,,20,96.5,(Linares et al. 2011),3,,37,,,,,,,,,,,,,,,,,,
Phenol,Organic Compounds,4.71E-01,94.11,0,1.54,1.67,10.2,0.44,7,HTI CTA FO,Cellulose triacetate-based flat-shee FO membrane (active layer facing FS),62,-6,NaCl,58.44,1,96,9.8,8.8,4,21,20.68,(Heo et al. 2013),4,,38,,,,,,,,,,,,,,,,,,
4-Chlorophenol,Detergent,6.43E-01,128.6,0,2.42,2.27,8.96,0.55,7,HTI CTA FO,Cellulose triacetate-based flat-shee FO membrane,62,-6,NaCl,58.44,1,96,9.8,8.8,4,21,28.2,(Heo et al. 2013),4,,39,,,,,,,,,,,,,,,,,,
Atrazine,Pesticide,1.08E+00,215.7,0,2.64,2.2,3.2,0.35,7,HTI CTA FO,Cellulose triacetate-based flat-shee FO membrane,62,-6,NaCl,58.44,1,96,9.8,8.8,4,21,34,(Heo et al. 2013),4,,40,,,,,,,,,,,,,,,,,,
Carbamazepine,Pharmaceutical,1.18E+00,236.3,0,1.89,2.77,13.94,0.37,7,HTI CTA FO,Cellulose triacetate-based flat-shee FO membrane,62,-6,NaCl,58.44,1,96,9.8,8.8,4,21,68.01,(Heo et al. 2013),4,,41,,,,,,,,,,,,,,,,,,
Sulfamethoxazole,Pharmaceutical,1.27E+00,253.3,-1,-0.22,0.79,1.39,0.43,7,HTI CTA FO,Cellulose triacetate-based flat-shee FO membrane,62,-6,NaCl,58.44,1,96,9.8,8.8,4,21,66.4,(Heo et al. 2013),4,,42,,,,,,,,,,,,,,,,,,
